Task,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Aspect-Level Sentiment Classification,DistilBERT,0.7984,0.8036,0.7886,0.792,0.7959
Aspect-Level Sentiment Classification,Linear SVM,0.7194,0.7161,0.7158,0.7159,0.7193
Aspect-Level Sentiment Classification,Naive Bayes,0.7306,0.7553,0.71,0.7096,0.7179
Aspect-Level Sentiment Classification,Random Forest,0.7129,0.7097,0.7068,0.7078,0.7119
Aspect-Level Sentiment Classification,BiLSTM,0.7065,0.703,0.7024,0.7027,0.7062
Aspect-Level Sentiment Classification,Logistic Regression,0.6903,0.6876,0.6889,0.688,0.6908
