Task,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Aspect-Level Sentiment Classification,Sentiment RoBERTa + Threshold Tuning,0.8226,0.8216,0.8185,0.8197,0.8221
Aspect-Level Sentiment Classification,Optimized RoBERTa,0.8145,0.8138,0.8098,0.8113,0.8139
Aspect-Level Sentiment Classification,DistilBERT,0.7984,0.8036,0.7886,0.792,0.7959
Aspect-Level Sentiment Classification,Linear SVM,0.7194,0.7161,0.7158,0.7159,0.7193
Aspect-Level Sentiment Classification,Naive Bayes,0.7306,0.7553,0.71,0.7096,0.7179
Aspect-Level Sentiment Classification,Random Forest,0.7129,0.7097,0.7068,0.7078,0.7119
Aspect-Level Sentiment Classification,BiLSTM,0.7065,0.703,0.7024,0.7027,0.7062
Aspect-Level Sentiment Classification,Logistic Regression,0.6903,0.6876,0.6889,0.688,0.6908
Aspect-Level Sentiment Classification,DeBERTa + Threshold Tuning,0.5532,0.2766,0.5,0.3562,0.3941
